2024_Promise,Forecast,Similarity_Score,Historical_Match,Historical_Year
"We will expand the existing health services focussed on the prevention and reduction of Anaemia, Breast opportunities. We have successfully established Bharat among the top 3 Startup Ecosystems through various",Low Confidence: Highly Likely,0.577,Establish 1.5 lakh health and wellness centres under Ayushman Bharat.,2019
"Cancer, Cervical Cancer and Osteoporosis, ensuring a healthy life for women. We will launch a focussed interventions ranging from Atal Tinkering Labs, Hackathon, Startup India and Start Up India Seed Fund initiative to eliminate cervical cancer.",Indeterminate,0.4946,"We will ensure that all reproductive and menstrual health services are easily available to all women across India and with the expansion of ongoing Suvidha scheme, sanitary pads at an affordable cost of just Rs. will be provided to all women and girls",2019
"Scheme. We will build upon this success and expand this ecosystem by making Bharat a preferred Implementing the Nari Shakti Vandan Adhiniyam destination for startups, supported by robust investment, mentorship and a culture that celebrates",Low Confidence: Highly Likely,0.5906,"On priority, a national modernization programme for madrasa's would be started.",2014
entrepreneurial risk-taking. We will work with the private sector to expand the incubator network and,Low Confidence: Highly Likely,0.5703,High priority to job creation and Opportunities for entrepreneurship.,2014
We have enacted the long-awaited Nari Shakti Vandan Adhiniyam. We will systematically implement this link them with higher education institutes to promote entrepreneurship among our students. to ensure representation for women in the Parliament and State Legislatures. MODI Expand Funding for Startups KI Expanding Shakti Desks,Low Confidence: Partial,0.576,"We will provide accessible and affordable quality education to all women. We will ensure that ample financial support is available to girls throughout their education and subsidised education in the next years, to ensure financial empowerment among women.",2019
We will expand the existing Startup India Seed Fund Scheme and Startup Credit Guarantee Scheme to,Moderate Confidence: Highly Likely,0.6355,Seed Startup Fund,2019
"We have established Shakti Desks (Women Help Desks) in police stations. We will further ensure their GUARANTEE FOR ensure adequate funds for our start-ups in their entrepreneurial journeys. expansion for timely investigation and resolution of issues. Providing Mentorship to Startups YOUNG CITIZENS Strengthening Emergency Helpline 112 We have successfully provided mentorship under the Atal Innovation Mission where more than 6,000",Low Confidence: Partial,0.5169,Special skills training and business incubator park for women. Set up a dedicated W-SME (Women Small and medium enterprises) cluster in every district. Set up an All Women Mobile Bank to cater to women.,2014
We will strengthen the Emergency Response Support System and enhance the capabilities of,Low Confidence: Partial,0.5479,"Strengthen and expand the Civil Defence and Home Guards mechanism to create a group of citizens for community defence, self-defence and disaster management.",2014
mentors are already present. We will continue establishing tie-ups with globally recognised mentors to Emergency Helpline 112 support the startups in their journeys to success. Encouraging Startups in Government Procurement We have taken initiatives in many departments including defence and railways to support procurement,Indeterminate,0.4987,Services of youth in particular will be tapped to contribute in governance with Fellowship and Internship programmes launched at various levels.,2014
"Young citizens form an essential pillar of our commitment towards building a Viksit Bharat. from startups. We will prepare a strong framework to further encourage startups in government Our vision is to build a Viksit Bharat where young citizens can fully realise their potential. We procurement. will develop an integrated education framework under the NEP, to ensure young citizens have the opportunity to earn while they learn. We guarantee high-quality education, world-class sports facilities, employment and entrepreneurial opportunities to all young Three Crore Lakhpati Didis citizens through the NEP and other programmes. Increasing Employment Opportunities in Manufacturing",Low Confidence: Highly Likely,0.5446,"Encourage and empower our youth for self-employment - incubating entrepreneurship as well as facilitating credit. Address the employability issue by initiating a multi-skills development programme in mission mode. Focus will be on job creation and entrepreneurship, in both rural and urban areas.",2014
